ID,Title,Host_IP,Host_Name,Event_Time,Location
"=HYPERLINK(""https://app.squadcast.com/incident/691eff7304b6fd9019e1732d"",""691eff7304b6fd9019e1732d"")",Interface tunnel.7(IDR-MNL_Backup): Link down,10.24.3.8,IDR-PA-Primary_FW,17:15:50,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691eff4d94ce8603392bd247"",""691eff4d94ce8603392bd247"")",Interface tunnel.2(IDR_CHN_Backup): Link down,10.24.3.10,IDR-PA_FW_Virtual,17:15:13,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691efe9904b6fd9019e17193"",""691efe9904b6fd9019e17193"")",Interface ethernet1/2(JIO_500): Link down,10.24.3.10,IDR-PA_FW_Virtual,17:12:12,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691efe8304b6fd9019e17179"",""691efe8304b6fd9019e17179"")",Interface ethernet1/2(JIO_500): Link down,10.24.3.8,IDR-PA-Primary_FW,17:11:50,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691efe5304b6fd9019e17142"",""691efe5304b6fd9019e17142"")",Unavailable by ICMP ping,96.78.150.89,MNL_US_SJ_FW_Com_IP_FW,19:41:02,mnl
"=HYPERLINK(""https://app.squadcast.com/incident/691efe5294ce8603392bd07d"",""691efe5294ce8603392bd07d"")",Unavailable by ICMP ping,96.78.150.89,MNL_US_SJ_FW_Com_IP_FW,19:41:02,mnl
"=HYPERLINK(""https://app.squadcast.com/incident/691efe4b94ce8603392bd074"",""691efe4b94ce8603392bd074"")",Unavailable by ICMP ping,10.2.10.1,iOPEX-US-SJ-FW,17:10:55,he
"=HYPERLINK(""https://app.squadcast.com/incident/691efe4b94ce8603392bd072"",""691efe4b94ce8603392bd072"")",Unavailable by ICMP ping,10.2.10.1,iOPEX-US-SJ-FW,17:10:55,he
"=HYPERLINK(""https://app.squadcast.com/incident/691efe2904b6fd9019e170a4"",""691efe2904b6fd9019e170a4"")",Unavailable by ICMP ping,96.78.150.89,US_SJ_COM_ISP,17:10:21,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691eba8b04b6fd9019e0bd7d"",""691eba8b04b6fd9019e0bd7d"")",Unavailable by ICMP ping,47.29.3.148,IDR_JIO_ISP_FW_Interface,12:21:52,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691eba8a94ce8603392b1878"",""691eba8a94ce8603392b1878"")",Unavailable by ICMP ping,47.29.3.146,IDR_JIO_RF-PATH_ISP,12:21:51,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691eba8994ce8603392b1874"",""691eba8994ce8603392b1874"")",Unavailable by ICMP ping,47.29.3.145,IDR_JIO_Fiber-PATH_ISP,12:21:50,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691eba2994ce8603392b17c1"",""691eba2994ce8603392b17c1"")",Interface tunnel.2(IDR_CHN_Backup): Link down,10.24.3.10,IDR-PA_FW_Virtual,12:20:12,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691eba1204b6fd9019e0bc1c"",""691eba1204b6fd9019e0bc1c"")",Interface tunnel.2(IDR_CHN_Backup): Link down,10.24.3.8,IDR-PA-Primary_FW,12:19:50,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691eb83204b6fd9019e0b892"",""691eb83204b6fd9019e0b892"")",Unavailable by ICMP ping,47.29.3.145,IDR_JIO_Fiber-PATH_ISP,12:11:50,chn
"=HYPERLINK(""https://app.squadcast.com/incident/691eb7bb94ce8603392b12a4"",""691eb7bb94ce8603392b12a4"")",Interface tunnel.2(IDR_CHN_Backup): Link down,10.24.3.8,IDR-PA-Primary_FW,12:09:50,idr
"=HYPERLINK(""https://app.squadcast.com/incident/691eb79594ce8603392b1279"",""691eb79594ce8603392b1279"")",Interface tunnel.2(IDR_CHN_Backup): Link down,10.24.3.10,IDR-PA_FW_Virtual,12:09:12,idr
